name,url,birth_year,death_year,origin,primary_style,source
Long John Hunter,https://en.wikipedia.org/wiki/Long_John_Hunter,1931,2016,Louisiana,Texas blues,Wikipedia
J. B. Hutto,https://en.wikipedia.org/wiki/J._B._Hutto,1926,1983,South Carolina,Chicago blues,Wikipedia
John Jackson,https://en.wikipedia.org/wiki/John_Jackson_(blues_musician),1924,2002,Virginia,Piedmont blues,Wikipedia
Elmore James,https://en.wikipedia.org/wiki/Elmore_James,1918,1963,Mississippi,Chicago blues,Wikipedia
Etta James,https://en.wikipedia.org/wiki/Etta_James,1938,2012,California,Soul blues,Wikipedia
Bobo Jenkins,https://en.wikipedia.org/wiki/Bobo_Jenkins,1916,1984,Alabama,Detroit blues,Wikipedia
Jimmy Johnson,https://en.wikipedia.org/wiki/Jimmy_Johnson_(blues_guitarist),1928,2022,Mississippi,Chicago blues,Wikipedia
Luther Johnson (Guitar Junior),https://en.wikipedia.org/wiki/Luther_Johnson_(Guitar_Junior),1939,2022,Mississippi,Electric blues,Wikipedia
"Luther ""Georgia Boy"" Johnson",https://en.wikipedia.org/wiki/Luther_%22Georgia_Boy%22_Johnson,1934,1976,Georgia,Chicago blues,Wikipedia
Floyd Jones,https://en.wikipedia.org/wiki/Floyd_Jones,1917,1990*,Arkansas,Electric blues,Wikipedia
Little Sonny Jones,https://en.wikipedia.org/wiki/Little_Sonny_Jones,1931,1989,Louisiana,New Orleans blues,Wikipedia
Moody Jones,https://en.wikipedia.org/wiki/Moody_Jones,1908,1988,Arkansas,Chicago blues,Wikipedia
Tail Dragger Jones,https://en.wikipedia.org/wiki/Tail_Dragger_Jones,1940,2023,Arkansas,Chicago blues,Wikipedia
Louis Jordan,https://en.wikipedia.org/wiki/Louis_Jordan,1908,1975,Arkansas,Jump blues,Wikipedia
Kansas City Red,https://en.wikipedia.org/wiki/Kansas_City_Red,1926,1991,Mississippi,Chicago blues,Wikipedia
Jo Ann Kelly,https://en.wikipedia.org/wiki/Jo_Ann_Kelly,1944,1990,England,Electric blues,Wikipedia
Junior Kimbrough,https://en.wikipedia.org/wiki/Junior_Kimbrough,1930,1998,Mississippi,Hill country blues,Wikipedia
Albert King,https://en.wikipedia.org/wiki/Albert_King,1923,1992,Mississippi,Electric blues,Wikipedia
B.B. King,https://en.wikipedia.org/wiki/B.B._King,1925,2015,Mississippi,Electric blues,Wikipedia
Earl King,https://en.wikipedia.org/wiki/Earl_King,1934,2003,Louisiana,New Orleans blues,Wikipedia
Eddie King,https://en.wikipedia.org/wiki/Eddie_King_(musician),1938,2012,Alabama,Chicago blues,Wikipedia
Freddie King,https://en.wikipedia.org/wiki/Freddie_King,1934,1976,Texas,Electric blues,Wikipedia
Little Freddie King,https://en.wikipedia.org/wiki/Little_Freddie_King,1940,,Mississippi,Electric blues,Wikipedia
Bob Kirkpatrick,https://en.wikipedia.org/wiki/Bob_Kirkpatrick_(musician),1934,,Louisiana,Texas blues,Wikipedia
Alexis Korner,https://en.wikipedia.org/wiki/Alexis_Korner,1928,1984,France,Electric blues,Wikipedia
Sammy Lawhorn,https://en.wikipedia.org/wiki/Sammy_Lawhorn,1935,1990,Arkansas,Chicago blues,Wikipedia
Lazy Lester,https://en.wikipedia.org/wiki/Lazy_Lester,1933,2018,Louisiana,Swamp blues,Wikipedia
Calvin Leavy,https://en.wikipedia.org/wiki/Calvin_Leavy,1941*,2010,Arkansas,Soul blues,Wikipedia
Lovie Lee,https://en.wikipedia.org/wiki/Lovie_Lee,1908,1997,Mississippi,Chicago blues,Wikipedia
Lefty Dizz,https://en.wikipedia.org/wiki/Lefty_Dizz,1937,1993,Arkansas,Chicago blues,Wikipedia
J. B. Lenoir,https://en.wikipedia.org/wiki/J._B._Lenoir,1929,1967,Mississippi,Urban blues,Wikipedia
Lightnin' Slim,https://en.wikipedia.org/wiki/Lightnin%27_Slim,1913,1974,Missouri*,Louisiana blues,Wikipedia
Hip Linkchain,https://en.wikipedia.org/wiki/Hip_Linkchain,1936,1989,Mississippi,Chicago blues,Wikipedia
Little Joe Blue,https://en.wikipedia.org/wiki/Little_Joe_Blue,1934,1990,Mississippi,Electric blues,Wikipedia
Little Sonny,https://en.wikipedia.org/wiki/Little_Sonny,1932*,,Alabama,Electric blues,Wikipedia
Little Walter,https://en.wikipedia.org/wiki/Little_Walter,1930,1968,Louisiana,Chicago blues,Wikipedia
Little Willie Littlefield,https://en.wikipedia.org/wiki/Little_Willie_Littlefield,1931,2013,Texas,West Coast blues,Wikipedia
John Littlejohn,https://en.wikipedia.org/wiki/John_Littlejohn,1931,1994,Mississippi,Chicago blues,Wikipedia
Lonesome Sundown,https://en.wikipedia.org/wiki/Lonesome_Sundown,1928,2005*,Louisiana,Swamp blues,Wikipedia
Louisiana Red,https://en.wikipedia.org/wiki/Louisiana_Red,1932,2012,Alabama,Electric blues,Wikipedia
Willie Love,https://en.wikipedia.org/wiki/Willie_Love,1906,1953,Mississippi,Electric blues,Wikipedia
Magic Sam,https://en.wikipedia.org/wiki/Magic_Sam,1937,1969,Mississippi,Chicago blues,Wikipedia
Magic Slim,https://en.wikipedia.org/wiki/Magic_Slim,1937,2013,Mississippi,Chicago blues,Wikipedia
J.J. Malone,https://en.wikipedia.org/wiki/J.J._Malone,1935,2004,Alabama,West Coast blues,Wikipedia
Johnny Mars,https://en.wikipedia.org/wiki/Johnny_Mars,1942,2011,South Carolina,Electric blues,Wikipedia
John Mayall,https://en.wikipedia.org/wiki/John_Mayall,1933,2024,England,Electric blues,Wikipedia
Pete Mayes,https://en.wikipedia.org/wiki/Pete_Mayes,1938,2008,Texas,Texas blues,Wikipedia
Percy Mayfield,https://en.wikipedia.org/wiki/Percy_Mayfield,1920,1984,Louisiana,West Coast blues,Wikipedia
Earring George Mayweather,https://en.wikipedia.org/wiki/Earring_George_Mayweather,1928,1995,Alabama,Chicago blues,Wikipedia
Delbert McClinton,https://en.wikipedia.org/wiki/Delbert_McClinton,1940,,Texas,Electric blues,Wikipedia
Jimmy McCracklin,https://en.wikipedia.org/wiki/Jimmy_McCracklin,1921,2012,Texas,West Coast blues,Wikipedia
Brownie McGhee,https://en.wikipedia.org/wiki/Brownie_McGhee,1915,1996,Tennessee,Piedmont blues,Wikipedia
Memphis Slim,https://en.wikipedia.org/wiki/Memphis_Slim,1915,1988,Tennessee,Urban blues,Wikipedia
Big Maceo Merriweather,https://en.wikipedia.org/wiki/Big_Maceo_Merriweather,1905,1953,Georgia,Barrelhouse blues,Wikipedia
Amos Milburn,https://en.wikipedia.org/wiki/Amos_Milburn,1927,1980,Texas,Urban blues,Wikipedia
"Luke ""Long Gone"" Miles",https://en.wikipedia.org/wiki/Luke_%22Long_Gone%22_Miles,1925,1987,Louisiana,Texas blues,Wikipedia
Roy Milton,https://en.wikipedia.org/wiki/Roy_Milton,1907,1983,Oklahoma,Jump blues,Wikipedia
Gatemouth Moore,https://en.wikipedia.org/wiki/Gatemouth_Moore,1913,2004,Kansas,Urban blues,Wikipedia
Johnny B. Moore,https://en.wikipedia.org/wiki/Johnny_B._Moore,1950,,Mississippi,Chicago blues,Wikipedia
Muddy Waters,https://en.wikipedia.org/wiki/Muddy_Waters,1913,1983,Mississippi,Chicago blues,Wikipedia
"Matt ""Guitar"" Murphy",https://en.wikipedia.org/wiki/Matt_%22Guitar%22_Murphy,1929,2018,Mississippi,Chicago blues,Wikipedia
Charlie Musselwhite,https://en.wikipedia.org/wiki/Charlie_Musselwhite,1944,,Mississippi,Electric blues,Wikipedia
Sam Myers,https://en.wikipedia.org/wiki/Sam_Myers,1936,2006,Mississippi,Electric blues,Wikipedia
Robert Nighthawk,https://en.wikipedia.org/wiki/Robert_Nighthawk,1909,1967,Arkansas,Chicago blues,Wikipedia
Andrew Odom,https://en.wikipedia.org/wiki/Andrew_Odom,1936,1991,Louisiana,Chicago blues,Wikipedia
Johnny Otis,https://en.wikipedia.org/wiki/Johnny_Otis,1921,2012,California,West Coast blues,Wikipedia
Junior Parker,https://en.wikipedia.org/wiki/Junior_Parker,1932,1971,Mississippi,Memphis blues,Wikipedia
Odie Payne,https://en.wikipedia.org/wiki/Odie_Payne,1926,1989,Illinois,Chicago blues,Wikipedia
Dave Peabody,https://en.wikipedia.org/wiki/Dave_Peabody,1948,,England,Acoustic blues,Wikipedia
Pinetop Perkins,https://en.wikipedia.org/wiki/Pinetop_Perkins,1913,2011,Mississippi,Chicago blues,Wikipedia
Rod Piazza,https://en.wikipedia.org/wiki/Rod_Piazza,1947,,California,Electric blues,Wikipedia
