name,url,birth_year,death_year,origin,primary_style,source
Kirk Fletcher,https://en.wikipedia.org/wiki/Kirk_Fletcher,1975,,California,Electric blues*,Wikipedia
Sue Foley,https://en.wikipedia.org/wiki/Sue_Foley,1968,,Canada,Electric blues,Wikipedia
Robben Ford,https://en.wikipedia.org/wiki/Robben_Ford,1951,,California,Electric blues,Wikipedia
Rick Franklin,https://en.wikipedia.org/wiki/Rick_Franklin,1941,2005,Virginia,Electric blues*,Wikipedia
Anson Funderburgh,https://en.wikipedia.org/wiki/Anson_Funderburgh,1954,,Texas,Electric blues,Wikipedia
Grady Gaines,https://en.wikipedia.org/wiki/Grady_Gaines,1934,2021,Texas,Electric blues,Wikipedia
Terry Garland,https://en.wikipedia.org/wiki/Terry_Garland,1953,,Tennessee,Country blues,Wikipedia
Larry Garner,https://en.wikipedia.org/wiki/Larry_Garner,1952,,Louisiana,Electric blues*,Wikipedia
Otis Grand,https://en.wikipedia.org/wiki/Otis_Grand,1950,,U.S.,Electric blues,Wikipedia
Guitar Slim Jr.,https://en.wikipedia.org/wiki/Guitar_Slim_Jr.,1951,,Louisiana,Electric blues,Wikipedia
Sandra Hall,https://en.wikipedia.org/wiki/Sandra_Hall,1951,,Georgia,Electric blues*,Wikipedia
Larry Hamilton,https://en.wikipedia.org/wiki/Larry_Hamilton_(musician),1951,2011,Texas,Electric blues,Wikipedia
Odessa Harris,https://en.wikipedia.org/wiki/Odessa_Harris,1936,2003,Arkansas,Electric blues*,Wikipedia
Alvin Youngblood Hart,https://en.wikipedia.org/wiki/Alvin_Youngblood_Hart,1963,,California,Acoustic blues*,Wikipedia
Ted Hawkins,https://en.wikipedia.org/wiki/Ted_Hawkins,1936,1995,Mississippi,Acoustic blues,Wikipedia
Big Boy Henry,https://en.wikipedia.org/wiki/Big_Boy_Henry,1921,2004,North Carolina,Electric blues*,Wikipedia
George Higgs,https://en.wikipedia.org/wiki/George_Higgs,1930,2013,North Carolina,Electric blues*,Wikipedia
Fruteland Jackson,https://en.wikipedia.org/wiki/Fruteland_Jackson,1953,,Mississippi,Electric blues*,Wikipedia
Colin James,https://en.wikipedia.org/wiki/Colin_James,1964,,Canada,Electric blues,Wikipedia
Steve James,https://en.wikipedia.org/wiki/Steve_James_(blues_musician),1950,,New York,Acoustic blues,Wikipedia
L.V. Johnson,https://en.wikipedia.org/wiki/L.V._Johnson,1946,,U.S.,Electric blues,Wikipedia
"Johnny ""Yard Dog"" Jones",https://en.wikipedia.org/wiki/Johnny_%22Yard_Dog%22_Jones,1941,,Illinois,Electric blues*,Wikipedia
"Paul ""Wine"" Jones",https://en.wikipedia.org/wiki/Paul_%22Wine%22_Jones,1946,2005,Mississippi,Electric blues*,Wikipedia
Tutu Jones,https://en.wikipedia.org/wiki/Tutu_Jones,1957,,Texas,Electric blues*,Wikipedia
Keb' Mo',https://en.wikipedia.org/wiki/Keb%27_Mo%27,1955,,California,Acoustic blues,Wikipedia
Harrison Kennedy,https://en.wikipedia.org/wiki/Harrison_Kennedy_(musician),1942,,Canada,Electric blues*,Wikipedia
Chris Thomas King,https://en.wikipedia.org/wiki/Chris_Thomas_King,1962,,Louisiana,Electric blues*,Wikipedia
Little Jimmy King,https://en.wikipedia.org/wiki/Little_Jimmy_King,1968,2002,Tennessee,Electric blues,Wikipedia
Lady Bianca,https://en.wikipedia.org/wiki/Lady_Bianca,1953,,Kansas,Electric blues,Wikipedia
Johnny Laws,https://en.wikipedia.org/wiki/Johnny_Laws,1943,2021[387],Illinois,Electric blues*,Wikipedia
Professor Eddie Lusk,https://en.wikipedia.org/wiki/Professor_Eddie_Lusk,1948,1992,Illinois,Electric blues*,Wikipedia
Bob Margolin,https://en.wikipedia.org/wiki/Bob_Margolin,1949,,Massachusetts,Electric blues,Wikipedia
Johnnie Marshall,https://en.wikipedia.org/wiki/Johnnie_Marshall,1961,,Georgia,Electric blues*,Wikipedia
Larry McCray,https://en.wikipedia.org/wiki/Larry_McCray,1962,,Arkansas,Electric blues,Wikipedia
Clara McDaniel,https://en.wikipedia.org/wiki/Clara_McDaniel,1948,,Michigan,Electric blues*,Wikipedia
Johnny B. Moore,https://en.wikipedia.org/wiki/Johnny_B._Moore,1952,,U.S.,Chicago blues,Wikipedia
Kenny Neal,https://en.wikipedia.org/wiki/Kenny_Neal,1957,,Louisiana,Electric blues,Wikipedia
Jay Owens,https://en.wikipedia.org/wiki/Jay_Owens_(musician),1947,,Florida,Electric blues,Wikipedia
Sista Monica Parker,https://en.wikipedia.org/wiki/Sista_Monica_Parker,1956,,Indiana,Electric blues*,Wikipedia
Neal Pattman,https://en.wikipedia.org/wiki/Neal_Pattman,1927,2005,Georgia,Electric blues*,Wikipedia
Asie Payton,https://en.wikipedia.org/wiki/Asie_Payton,1937,1997,Mississippi,Electric blues*,Wikipedia
Lucky Peterson,https://en.wikipedia.org/wiki/Lucky_Peterson,1964,,New York,Electric blues,Wikipedia
Kelly Joe Phelps,https://en.wikipedia.org/wiki/Kelly_Joe_Phelps,1960,,Washington,Electric blues*,Wikipedia
Lonnie Pitchford,https://en.wikipedia.org/wiki/Lonnie_Pitchford,1955,,Kentucky,Electric blues*,Wikipedia
"Gene ""Birdlegg"" Pittman",https://en.wikipedia.org/wiki/Gene_%22Birdlegg%22_Pittman,1947,,Pennsylvania,Electric blues*,Wikipedia
Gary Primich,https://en.wikipedia.org/wiki/Gary_Primich,1958,,Illinois,Electric blues,Wikipedia
Henry Qualls,https://en.wikipedia.org/wiki/Henry_Qualls,1934,,Texas,Acoustic blues*,Wikipedia
Johnny Rawls,https://en.wikipedia.org/wiki/Johnny_Rawls,1951,,Mississippi,Electric blues,Wikipedia
Sherman Robertson,https://en.wikipedia.org/wiki/Sherman_Robertson,1948,,Louisiana,Electric blues,Wikipedia
Duke Robillard,https://en.wikipedia.org/wiki/Duke_Robillard,1948,,Rhode Island,Electric blues,Wikipedia
Andy Rodgers,https://en.wikipedia.org/wiki/Andy_Rodgers_(musician),1922,2004,Mississippi,Acoustic blues*,Wikipedia
Mighty Mo Rodgers,https://en.wikipedia.org/wiki/Mighty_Mo_Rodgers,1942,,Illinois,Electric blues*,Wikipedia
Roy Rogers,https://en.wikipedia.org/wiki/Roy_Rogers_(guitarist),1950,,California,Electric blues*,Wikipedia
Saffire – The Uppity Blues Women,https://en.wikipedia.org/wiki/Saffire_%E2%80%93_The_Uppity_Blues_Women,,,,Acoustic blues,Wikipedia
Isaac Scott,https://en.wikipedia.org/wiki/Isaac_Scott_(musician),1945,2001,Washington,Electric blues*,Wikipedia
Kenny Wayne Shepherd,https://en.wikipedia.org/wiki/Kenny_Wayne_Shepherd,1977,,Louisiana,Electric blues,Wikipedia
Lonnie Shields,https://en.wikipedia.org/wiki/Lonnie_Shields,1956,,Arkansas,Electric blues*,Wikipedia
Cootie Stark,https://en.wikipedia.org/wiki/Cootie_Stark,1926,2005,South Carolina,Acoustic blues,Wikipedia
Angela Strehli,https://en.wikipedia.org/wiki/Angela_Strehli,1945,,Texas,Electric blues,Wikipedia
Demetria Taylor,https://en.wikipedia.org/wiki/Demetria_Taylor,1973,,Illinois,Chicago blues,Wikipedia
Eddie Taylor Jr.,https://en.wikipedia.org/wiki/Eddie_Taylor_Jr.,1972,,Illinois,Electric blues*,Wikipedia
Melvin Taylor,https://en.wikipedia.org/wiki/Melvin_Taylor,1959,,Mississippi,Electric blues,Wikipedia
Otis Taylor,https://en.wikipedia.org/wiki/Otis_Taylor_(musician),1948,,Illinois,Electric blues*,Wikipedia
Susan Tedeschi,https://en.wikipedia.org/wiki/Susan_Tedeschi,1970,,Massachusetts,Electric blues,Wikipedia
Lil' Dave Thompson,https://en.wikipedia.org/wiki/Lil%27_Dave_Thompson,1969,2010,Mississippi,Electric blues*,Wikipedia
Pyeng Threadgill,https://en.wikipedia.org/wiki/Pyeng_Threadgill,1977,,New York,Electric blues*,Wikipedia
Teeny Tucker,https://en.wikipedia.org/wiki/Teeny_Tucker,1958,,Ohio,Electric blues*,Wikipedia
Maurice John Vaughn,https://en.wikipedia.org/wiki/Maurice_John_Vaughn,1952,,Illinois,Chicago blues,Wikipedia
Joe Louis Walker,https://en.wikipedia.org/wiki/Joe_Louis_Walker,1949,,California,Electric blues,Wikipedia
Carl Weathersby,https://en.wikipedia.org/wiki/Carl_Weathersby,1953,2024,Mississippi,Electric blues,Wikipedia
Valerie Wellington,https://en.wikipedia.org/wiki/Valerie_Wellington,1959,1991,Illinois,Electric blues,Wikipedia
Mike Wheeler,https://en.wikipedia.org/wiki/Mike_Wheeler_(musician),1961,,Illinois,Electric blues*,Wikipedia
Albert White,https://en.wikipedia.org/wiki/Albert_White_(musician),1942,,Georgia,Electric blues*,Wikipedia
Lil' Ed Williams,https://en.wikipedia.org/wiki/Lil%27_Ed_Williams,1955,,U.S.,Chicago blues,Wikipedia
Zora Young,https://en.wikipedia.org/wiki/Zora_Young,1948,,Mississippi,Electric blues,Wikipedia
